날짜,KOSPI지수,KOSDAQ지수
2016-02-01,"1,924.82",685.55
2016-02-02,"1,906.06",684.86
2016-02-03,"1,890.67",680.94
2016-02-04,"1,916.26",683.62
2016-02-05,"1,917.79",681.31
2016-02-06,,
2016-02-07,,
2016-02-08,,
2016-02-09,,
2016-02-10,,
2016-02-11,"1,861.54",647.69
2016-02-12,"1,835.28",608.45
2016-02-13,,
2016-02-14,,
2016-02-15,"1,862.20",621.37
2016-02-16,"1,888.30",634.95
2016-02-17,"1,883.94",623.49
2016-02-18,"1,908.84",638.43
2016-02-19,"1,916.24",644.56
2016-02-20,,
2016-02-21,,
2016-02-22,"1,916.36",650.14
2016-02-23,"1,914.22",642.31
2016-02-24,"1,912.53",643.98
2016-02-25,"1,918.57",646.27
2016-02-26,"1,920.16",649.3
2016-02-27,,
2016-02-28,,
2016-02-29,"1,916.66",651.62
2016-03-01,,
2016-03-02,"1,947.42",662.25
2016-03-03,"1,958.17",669.01
2016-03-04,"1,955.63",673.84
2016-03-05,,
2016-03-06,,
2016-03-07,"1,957.87",672.21
2016-03-08,"1,946.12",674.32
2016-03-09,"1,952.95",679.64
2016-03-10,"1,969.33",687.6
2016-03-11,"1,971.41",689.17
2016-03-12,,
2016-03-13,,
2016-03-14,"1,972.27",691.05
2016-03-15,"1,969.97",693.34
2016-03-16,"1,974.90",693.44
2016-03-17,"1,987.99",691.49
2016-03-18,"1,992.12",695.02
2016-03-19,,
2016-03-20,,
2016-03-21,"1,989.76",692.42
2016-03-22,"1,996.81",691.51
2016-03-23,"1,995.12",689.39
2016-03-24,"1,985.97",686.26
2016-03-25,"1,983.81",683.2
2016-03-26,,
2016-03-27,,
2016-03-28,"1,982.54",676.51
2016-03-29,"1,994.91",686.5
2016-03-30,"2,002.14",691.13
2016-03-31,"1,995.85",688.38
2016-04-01,"1,973.57",690.69
2016-04-02,,
2016-04-03,,
2016-04-04,"1,978.97",696.98
2016-04-05,"1,962.74",695.7
2016-04-06,"1,971.32",694.03
2016-04-07,"1,973.89",697.13
2016-04-08,"1,972.05",697.1
2016-04-09,,
2016-04-10,,
2016-04-11,"1,970.37",693.01
2016-04-12,"1,981.32",693.45
2016-04-13,,
2016-04-14,"2,015.93",693.42
2016-04-15,"2,014.71",695.62
2016-04-16,,
2016-04-17,,
2016-04-18,"2,009.10",695.34
2016-04-19,"2,011.36",701.68
2016-04-20,"2,005.83",699.86
2016-04-21,"2,022.10",701.62
2016-04-22,"2,015.49",703.05
2016-04-23,,
2016-04-24,,
2016-04-25,"2,014.55",703.7
2016-04-26,"2,019.63",702.06
2016-04-27,"2,015.40",699.52
2016-04-28,"2,000.93",699.7
2016-04-29,"1,994.15",699.77
2016-04-30,,
2016-05-01,,
2016-05-02,"1,978.15",690.27
2016-05-03,"1,986.41",698.66
2016-05-04,"1,976.71",694.17
2016-05-05,,
2016-05-06,,
2016-05-07,,
2016-05-08,,
2016-05-09,"1,967.81",691.82
2016-05-10,"1,982.50",700.23
2016-05-11,"1,980.10",703.94
2016-05-12,"1,977.49",705.04
2016-05-13,"1,966.99",704.37
2016-05-14,,
2016-05-15,,
2016-05-16,"1,967.91",701.46
2016-05-17,"1,968.06",695.95
2016-05-18,"1,956.73",683.87
2016-05-19,"1,946.78",679.39
2016-05-20,"1,947.67",684.92
2016-05-21,,
2016-05-22,,
2016-05-23,"1,955.25",691
2016-05-24,"1,937.68",687.71
2016-05-25,"1,960.51",689.33
2016-05-26,"1,957.06",687.94
2016-05-27,"1,969.17",691.54
2016-05-28,,
2016-05-29,,
2016-05-30,"1,967.13",692.06
2016-05-31,"1,983.40",698.45
2016-06-01,"1,982.72",700.03
2016-06-02,"1,985.11",701.15
2016-06-03,"1,985.84",701.43
2016-06-04,,
2016-06-05,,
2016-06-06,,
2016-06-07,"2,011.63",704.77
2016-06-08,"2,027.08",703.99
2016-06-09,"2,024.17",705.08
2016-06-10,"2,017.63",706.81
2016-06-11,,
2016-06-12,,
2016-06-13,"1,979.06",695.61
2016-06-14,"1,972.03",692.94
2016-06-15,"1,968.83",694.66
2016-06-16,"1,951.99",680.25
2016-06-17,"1,953.40",678.86
2016-06-18,,
2016-06-19,,
2016-06-20,"1,981.12",688.95
2016-06-21,"1,982.70",688.55
2016-06-22,"1,992.58",688.18
2016-06-23,"1,986.71",679.52
2016-06-24,"1,925.24",647.16
2016-06-25,,
2016-06-26,,
2016-06-27,"1,926.85",648.12
2016-06-28,"1,936.22",659.3
2016-06-29,"1,956.36",669.88
2016-06-30,"1,970.35",675.09
2016-07-01,"1,987.32",684.26
2016-07-02,,
2016-07-03,,
2016-07-04,"1,995.30",688.15
2016-07-05,"1,989.85",692.73
2016-07-06,"1,953.12",685.51
2016-07-07,"1,974.08",695.95
2016-07-08,"1,963.10",692.6
2016-07-09,,
2016-07-10,,
2016-07-11,"1,988.54",697.25
2016-07-12,"1,991.23",699.4
2016-07-13,"2,005.55",702.65
2016-07-14,"2,008.77",703.34
2016-07-15,"2,017.26",700.28
2016-07-16,,
2016-07-17,,
2016-07-18,"2,021.11",700.9
2016-07-19,"2,016.89",702.44
2016-07-20,"2,015.46",705.03
2016-07-21,"2,012.22",708.12
2016-07-22,"2,010.34",707.54
2016-07-23,,
2016-07-24,,
2016-07-25,"2,012.32",704.96
2016-07-26,"2,027.34",705.4
2016-07-27,"2,025.05",701.09
2016-07-28,"2,021.10",703.78
2016-07-29,"2,016.19",706.24
2016-07-30,,
2016-07-31,,
2016-08-01,"2,029.61",703.72
2016-08-02,"2,019.03",700.9
2016-08-03,"1,994.79",698.32
2016-08-04,"2,000.03",701.67
2016-08-05,"2,017.94",696.09
2016-08-06,,
2016-08-07,,
2016-08-08,"2,031.12",696.43
2016-08-09,"2,043.78",700.73
2016-08-10,"2,044.64",707.46
2016-08-11,"2,048.80",703.33
2016-08-12,"2,050.47",705.18
2016-08-13,,
2016-08-14,,
2016-08-15,,
2016-08-16,"2,047.76",698.87
2016-08-17,"2,043.75",693.67
2016-08-18,"2,055.47",696.93
2016-08-19,"2,056.24",696.2
2016-08-20,,
2016-08-21,,
2016-08-22,"2,042.16",688.15
2016-08-23,"2,049.93",687.38
2016-08-24,"2,043.76",687.78
2016-08-25,"2,042.92",683.96
2016-08-26,"2,037.50",680.43
2016-08-27,,
2016-08-28,,
2016-08-29,"2,032.35",663.58
2016-08-30,"2,039.74",667.61
2016-08-31,"2,034.65",663.69
2016-09-01,"2,032.72",671.29
2016-09-02,"2,038.31",676.91
2016-09-03,,
2016-09-04,,
2016-09-05,"2,060.08",679.49
2016-09-06,"2,066.53",679.26
2016-09-07,"2,061.88",672.49
2016-09-08,"2,063.73",667.4
2016-09-09,"2,037.87",664.99
2016-09-10,,
2016-09-11,,
2016-09-12,"1,991.48",652.91
2016-09-13,"1,999.36",660.15
2016-09-14,,
2016-09-15,,
2016-09-16,,
2016-09-17,,
2016-09-18,,
2016-09-19,"2,015.78",666.64
2016-09-20,"2,025.71",674.51
2016-09-21,"2,035.99",678.28
2016-09-22,"2,049.70",685.24
2016-09-23,"2,054.07",688.59
2016-09-24,,
2016-09-25,,
2016-09-26,"2,047.11",686.76
2016-09-27,"2,062.82",687.99
2016-09-28,"2,053.06",686.76
2016-09-29,"2,068.72",689.83
2016-09-30,"2,043.63",681.21
2016-10-01,,
2016-10-02,,
2016-10-03,,
2016-10-04,"2,054.86",685.88
2016-10-05,"2,053.00",685.44
2016-10-06,"2,065.30",684.33
2016-10-07,"2,053.80",675.9
2016-10-08,,
2016-10-09,,
2016-10-10,"2,056.82",674.74
2016-10-11,"2,031.93",670.64
2016-10-12,"2,033.73",669.95
2016-10-13,"2,015.44",663.09
2016-10-14,"2,022.66",664.92
2016-10-15,,
2016-10-16,,
2016-10-17,"2,027.61",659.83
2016-10-18,"2,040.43",660.29
2016-10-19,"2,040.94",661.26
2016-10-20,"2,040.60",655.68
2016-10-21,"2,033.00",651.77
2016-10-22,,
2016-10-23,,
2016-10-24,"2,047.74",647.88
2016-10-25,"2,037.17",640.17
2016-10-26,"2,013.89",635.51
2016-10-27,"2,024.12",648.57
2016-10-28,"2,019.42",640.17
2016-10-29,,
2016-10-30,,
2016-10-31,"2,008.19",624.68
2016-11-01,"2,007.39",626.38
2016-11-02,"1,978.94",606.06
2016-11-03,"1,983.80",609.99
2016-11-04,"1,982.02",610.82
2016-11-05,,
2016-11-06,,
2016-11-07,"1,997.58",622.17
2016-11-08,"2,003.38",624.19
2016-11-09,"1,958.38",599.74
2016-11-10,"2,002.60",623.23
2016-11-11,"1,984.43",621.89
2016-11-12,,
2016-11-13,,
2016-11-14,"1,974.40",621.23
2016-11-15,"1,967.53",617.43
2016-11-16,"1,979.65",627.83
2016-11-17,"1,980.55",627.76
2016-11-18,"1,974.58",620.26
2016-11-19,,
2016-11-20,,
2016-11-21,"1,966.05",609.33
2016-11-22,"1,983.47",610.74
2016-11-23,"1,987.95",600.29
2016-11-24,"1,971.26",592.65
2016-11-25,"1,974.46",597.82
2016-11-26,,
2016-11-27,,
2016-11-28,"1,978.13",593.05
2016-11-29,"1,978.39",596.07
2016-11-30,"1,983.48",596.11
2016-12-01,"1,983.75",593.85
2016-12-02,"1,970.61",586.73
2016-12-03,,
2016-12-04,,
2016-12-05,"1,963.36",575.12
2016-12-06,"1,989.86",581.35
2016-12-07,"1,991.89",578.52
2016-12-08,"2,031.07",584.62
2016-12-09,"2,024.69",594.35
2016-12-10,,
2016-12-11,,
2016-12-12,"2,027.24",603.08
2016-12-13,"2,035.98",611.09
2016-12-14,"2,036.87",612.47
2016-12-15,"2,036.65",620.61
2016-12-16,"2,042.24",622.08
2016-12-17,,
2016-12-18,,
2016-12-19,"2,038.39",622.77
2016-12-20,"2,041.94",617.99
2016-12-21,"2,037.96",618.63
2016-12-22,"2,035.73",615.93
2016-12-23,"2,035.90",619.75
2016-12-24,,
2016-12-25,,
2016-12-26,"2,037.75",615.16
2016-12-27,"2,042.17",618.38
2016-12-28,"2,024.49",627.27
2016-12-29,"2,026.46",631.44
2016-12-30,,
2016-12-31,,
2017-01-01,,
2017-01-02,"2,026.16",632.04
2017-01-03,"2,043.97",636.57
2017-01-04,"2,045.64",639.79
2017-01-05,"2,041.95",642.48
2017-01-06,"2,049.12",643.68
2017-01-07,,
2017-01-08,,
2017-01-09,"2,048.78",642.15
2017-01-10,"2,045.12",636.73
2017-01-11,"2,075.17",637.9
2017-01-12,"2,087.14",632.87
2017-01-13,"2,076.79",634.68
2017-01-14,,
2017-01-15,,
2017-01-16,"2,064.17",627.88
2017-01-17,"2,071.87",624
2017-01-18,"2,070.54",626.89
2017-01-19,"2,072.79",626.19
2017-01-20,"2,065.61",622.12
2017-01-21,,
2017-01-22,,
2017-01-23,"2,065.99",615.99
2017-01-24,"2,065.76",612.93
2017-01-25,"2,066.94",609.64
2017-01-26,"2,083.59",616.81
2017-01-27,,
2017-01-28,,
2017-01-29,,
2017-01-30,,
2017-01-31,"2,067.57",616.13
2017-02-01,"2,080.48",623.68
2017-02-02,"2,071.01",613.04
2017-02-03,"2,073.16",609.21
2017-02-04,,
2017-02-05,,
2017-02-06,"2,077.66",610.96
2017-02-07,"2,075.21",608.72
2017-02-08,"2,065.08",608.79
2017-02-09,"2,065.88",611.04
2017-02-10,"2,075.08",610.58
2017-02-11,,
2017-02-12,,
2017-02-13,"2,078.65",611.94
2017-02-14,"2,074.57",611.54
2017-02-15,"2,083.86",615.95
2017-02-16,"2,081.84",616.58
2017-02-17,"2,080.58",618.7
2017-02-18,,
2017-02-19,,
2017-02-20,"2,084.39",619.97
2017-02-21,"2,102.93",622.47
2017-02-22,"2,106.61",621.39
2017-02-23,"2,107.63",617.67
2017-02-24,"2,094.12",614.75
2017-02-25,,
2017-02-26,,
2017-02-27,"2,085.52",612.12
2017-02-28,"2,091.64",612.2
2017-03-01,,
2017-03-02,"2,102.65",608.93
2017-03-03,"2,078.75",600.73
2017-03-04,,
2017-03-05,,
2017-03-06,"2,081.36",604.05
2017-03-07,"2,094.05",606.05
2017-03-08,"2,095.41",605.75
2017-03-09,"2,091.06",606.13
2017-03-10,"2,097.35",612.26
2017-03-11,,
2017-03-12,,
2017-03-13,"2,117.59",615.59
2017-03-14,"2,133.78",614.12
2017-03-15,"2,133.00",608.68
2017-03-16,"2,150.08",613.88
2017-03-17,"2,164.58",613.26
2017-03-18,,
2017-03-19,,
2017-03-20,"2,157.01",609.11
2017-03-21,"2,178.38",609.73
2017-03-22,"2,168.30",607.57
2017-03-23,"2,172.72",605.53
2017-03-24,"2,168.95",608.18
2017-03-25,,
2017-03-26,,
2017-03-27,"2,155.66",607.07
2017-03-28,"2,163.31",612.28
2017-03-29,"2,166.98",613.63
2017-03-30,"2,164.64",614.68
2017-03-31,"2,160.23",619.28
2017-04-01,,
2017-04-02,,
2017-04-03,"2,167.51",628.52
2017-04-04,"2,161.10",625.49
2017-04-05,"2,160.85",630.17
2017-04-06,"2,152.75",630.46
2017-04-07,"2,151.73",633.32
2017-04-08,,
2017-04-09,,
2017-04-10,"2,133.32",619.41
2017-04-11,"2,123.85",621.64
2017-04-12,"2,128.91",621.45
2017-04-13,"2,148.61",623.87
2017-04-14,"2,134.88",618.24
2017-04-15,,
2017-04-16,,
2017-04-17,"2,145.78",629.47
2017-04-18,"2,148.46",634.73
2017-04-19,"2,138.40",635.99
2017-04-20,"2,149.15",635.8
2017-04-21,"2,165.04",634.96
2017-04-22,,
2017-04-23,,
2017-04-24,"2,173.74",626.62
2017-04-25,"2,196.85",632.57
2017-04-26,"2,207.84",635.11
2017-04-27,"2,209.46",631.11
2017-04-28,"2,205.44",628.24
2017-04-29,,
2017-04-30,,
2017-05-01,,
2017-05-02,"2,219.67",626.43
2017-05-03,,
2017-05-04,"2,241.24",635.11
2017-05-05,,
2017-05-06,,
2017-05-07,,
2017-05-08,"2,292.76",643.39
2017-05-09,,
2017-05-10,"2,270.12",642.68
2017-05-11,"2,296.37",647.58
2017-05-12,"2,286.02",643.73
2017-05-13,,
2017-05-14,,
2017-05-15,"2,290.65",645.38
2017-05-16,"2,295.33",639.11
2017-05-17,"2,293.08",640.01
2017-05-18,"2,286.82",638.12
2017-05-19,"2,288.48",642.45
2017-05-20,,
2017-05-21,,
2017-05-22,"2,304.03",642.62
2017-05-23,"2,311.74",644.73
2017-05-24,"2,317.34",646.04
2017-05-25,"2,342.93",643.02
2017-05-26,"2,355.30",646.01
2017-05-27,,
2017-05-28,,
2017-05-29,"2,352.97",642.98
2017-05-30,"2,343.68",649.06
2017-05-31,"2,347.38",652.04
2017-06-01,"2,344.61",653.83
2017-06-02,"2,371.72",658.78
2017-06-03,,
2017-06-04,,
2017-06-05,"2,368.62",662.32
2017-06-06,,
2017-06-07,"2,360.14",666.46
2017-06-08,"2,363.57",669.97
2017-06-09,"2,381.69",674.15
2017-06-10,,
2017-06-11,,
2017-06-12,"2,357.87",664.86
2017-06-13,"2,374.70",669.23
2017-06-14,"2,372.64",671.59
2017-06-15,"2,361.65",669.82
2017-06-16,"2,361.83",670.7
2017-06-17,,
2017-06-18,,
2017-06-19,"2,370.90",675.44
2017-06-20,"2,369.23",669.41
2017-06-21,"2,357.53",665.77
2017-06-22,"2,370.37",663.28
2017-06-23,"2,378.60",668.93
2017-06-24,,
2017-06-25,,
2017-06-26,"2,388.66",668.36
2017-06-27,"2,391.95",672.63
2017-06-28,"2,382.56",665.89
2017-06-29,"2,395.66",668
2017-06-30,"2,391.79",669.04
2017-07-01,,
2017-07-02,,
2017-07-03,"2,394.48",660.97
2017-07-04,"2,380.52",656.19
2017-07-05,"2,388.35",661.54
2017-07-06,"2,387.81",663.79
2017-07-07,"2,379.87",663.77
2017-07-08,,
2017-07-09,,
2017-07-10,"2,382.10",657.86
2017-07-11,"2,396.00",656.01
2017-07-12,"2,391.77",651.1
2017-07-13,"2,409.49",652.69
2017-07-14,"2,414.63",654.11
2017-07-15,,
2017-07-16,,
2017-07-17,"2,425.10",659.89
2017-07-18,"2,426.04",664.02
2017-07-19,"2,429.94",671.53
2017-07-20,"2,441.84",676.51
2017-07-21,"2,450.06",676.6
2017-07-22,,
2017-07-23,,
2017-07-24,"2,451.53",677.32
2017-07-25,"2,439.90",670.47
2017-07-26,"2,434.51",667.22
2017-07-27,"2,443.24",666.48
2017-07-28,"2,400.99",652.95
2017-07-29,,
2017-07-30,,
2017-07-31,"2,402.71",650.47
2017-08-01,"2,422.96",653.12
2017-08-02,"2,427.63",657.52
2017-08-03,"2,386.85",643.09
2017-08-04,"2,395.45",641.58
2017-08-05,,
2017-08-06,,
2017-08-07,"2,398.75",648.39
2017-08-08,"2,394.73",651.67
2017-08-09,"2,368.39",642.87
2017-08-10,"2,359.47",640.04
2017-08-11,"2,319.71",628.34
2017-08-12,,
2017-08-13,,
2017-08-14,"2,334.22",629.37
2017-08-15,,
2017-08-16,"2,348.26",634.91
2017-08-17,"2,361.67",642.11
2017-08-18,"2,358.37",643.58
2017-08-19,,
2017-08-20,,
2017-08-21,"2,355.00",640.85
2017-08-22,"2,365.33",644.26
2017-08-23,"2,366.40",643.71
2017-08-24,"2,375.84",647.71
2017-08-25,"2,378.51",650.27
2017-08-26,,
2017-08-27,,
2017-08-28,"2,370.30",652.92
2017-08-29,"2,364.74",653.96
2017-08-30,"2,372.29",655
2017-08-31,"2,363.19",657.83
2017-09-01,"2,357.69",661.99
2017-09-02,,
2017-09-03,,
2017-09-04,"2,329.65",650.89
2017-09-05,"2,326.62",648.75
2017-09-06,"2,319.82",652.59
2017-09-07,"2,346.19",658.48
2017-09-08,"2,343.72",654.29
2017-09-09,,
2017-09-10,,
2017-09-11,"2,359.08",656.53
2017-09-12,"2,365.47",660.05
2017-09-13,"2,360.18",659.09
2017-09-14,"2,377.66",665.41
2017-09-15,"2,386.07",671.3
2017-09-16,,
2017-09-17,,
2017-09-18,"2,418.21",675.87
2017-09-19,"2,416.05",674.48
2017-09-20,"2,412.20",668.05
2017-09-21,"2,406.50",661.11
2017-09-22,"2,388.71",648.95
2017-09-23,,
2017-09-24,,
2017-09-25,"2,380.40",642.04
2017-09-26,"2,374.32",642.4
2017-09-27,"2,372.57",649.24
2017-09-28,"2,373.14",648.09
2017-09-29,"2,394.47",652.82
2017-09-30,,
2017-10-01,,
2017-10-02,,
2017-10-03,,
2017-10-04,,
2017-10-05,,
2017-10-06,,
2017-10-07,,
2017-10-08,,
2017-10-09,,
2017-10-10,"2,433.81",654.59
2017-10-11,"2,458.16",662.31
2017-10-12,"2,474.76",666.54
2017-10-13,"2,473.62",663.08
2017-10-14,,
2017-10-15,,
2017-10-16,"2,480.05",659.41
2017-10-17,"2,484.37",670.51
2017-10-18,"2,482.91",668.42
2017-10-19,"2,473.06",667.1
2017-10-20,"2,489.54",672.95
2017-10-21,,
2017-10-22,,
2017-10-23,"2,490.05",675.86
